time,open,high,low,close,volume
2026-01-05 08:00:00,17917.50,17927.00,17915.50,17924.25,376
2026-01-05 08:01:00,17924.25,17925.50,17915.00,17915.50,385
2026-01-05 08:02:00,17915.50,17916.25,17907.50,17915.75,1491
2026-01-05 08:03:00,17915.75,17921.75,17905.75,17912.00,1381
2026-01-05 08:04:00,17912.00,17917.00,17911.25,17916.25,472
2026-01-05 08:05:00,17916.25,17926.00,17914.25,17925.50,441
2026-01-05 08:06:00,17925.50,17927.50,17910.50,17911.25,1369
2026-01-05 08:07:00,17911.25,17917.75,17908.50,17915.50,1321
2026-01-05 08:08:00,17915.50,17921.00,17912.50,17916.50,1288
2026-01-05 08:09:00,17916.50,17919.25,17912.25,17913.50,1399
2026-01-05 08:10:00,17913.50,17925.00,17913.50,17923.50,699
2026-01-05 08:11:00,17923.50,17926.25,17920.75,17922.25,1213
2026-01-05 08:12:00,17922.25,17929.50,17919.75,17925.50,441
2026-01-05 08:13:00,17925.50,17937.00,17925.25,17935.00,900
2026-01-05 08:14:00,17935.00,17938.50,17917.50,17922.75,1342
2026-01-05 08:15:00,17922.75,17929.25,17917.75,17921.00,842
2026-01-05 08:16:00,17921.00,17923.75,17909.50,17915.75,340
2026-01-05 08:17:00,17915.75,17923.75,17908.50,17919.00,1170
2026-01-05 08:18:00,17919.00,17920.25,17917.75,17918.25,1383
2026-01-05 08:19:00,17918.25,17925.00,17913.50,17914.00,782
2026-01-05 08:20:00,17914.00,17923.75,17909.00,17916.50,927
2026-01-05 08:21:00,17916.50,17931.75,17915.00,17930.75,320
2026-01-05 08:22:00,17930.75,17933.75,17920.00,17920.25,1216
2026-01-05 08:23:00,17920.25,17923.75,17911.50,17913.25,1325
2026-01-05 08:24:00,17913.25,17920.75,17909.25,17918.75,1050
2026-01-05 08:25:00,17918.75,17928.00,17918.25,17922.75,979
2026-01-05 08:26:00,17922.75,17923.50,17921.50,17922.75,677
2026-01-05 08:27:00,17922.75,17930.25,17922.25,17923.50,573
2026-01-05 08:28:00,17923.50,17923.75,17916.50,17919.75,1359
2026-01-05 08:29:00,17919.75,17923.25,17918.00,17922.50,1255
